"","OTU002","OTU003","OTU005","OTU006","OTU007","OTU008","OTU019","OTU020","OTU025","OTU026","OTU027","OTU028","OTU042","OTU044","OTU046","OTU049","OTU053","OTU055","OTU056","OTU058","OTU059","OTU063","OTU066","OTU068","OTU071","OTU074","OTU075","OTU076","OTU079","OTU080","OTU083","OTU090","OTU091","OTU093","OTU100","OTU103","OTU104","OTU112","OTU116","OTU118","OTU120","OTU122","OTU134"
"E02_T007_S003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T007_S004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T007_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T007_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T007_S007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T007_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T007_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T008_S001",0.502914968496946,0,0.00121947305927281,0,0.0783083555298824,0,0,0,0,0,0,0,0.00307542547842923,0.000465325246301467,0,0,0,0.00216082068397463,0.0552506872907374,0,0,0.147641817228801,0.0378197105356054,0.00628456510809452,0,0.086625375736765,0.0204154766107207,0,0,0.00741846111057625,0,0,0,0,0,0.0134890835766931,0,0,0,0.000267428302472107,0,0.0366430260047281,0
"E02_T008_S002",0.00123551875742114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34856604944214e-06,0
"E02_T008_S003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.487992469219e-05,0
