"","OTU002","OTU003","OTU005","OTU006","OTU007","OTU008","OTU019","OTU020","OTU025","OTU026","OTU027","OTU028","OTU042","OTU044","OTU046","OTU049","OTU053","OTU055","OTU056","OTU058","OTU059","OTU063","OTU066","OTU068","OTU071","OTU074","OTU075","OTU076","OTU079","OTU080","OTU083","OTU090","OTU091","OTU093","OTU100","OTU103","OTU104","OTU112","OTU116","OTU118","OTU120","OTU122","OTU134"
"E02_T006_S001",154206,0,421,0,51927,0,3234,0,5891,0,0,1080,0,0,0,0,0,1230,14742,0,3113,25045,17768,0,0,31596,13842,0,0,6077,0,0,0,0,0,4040,0,0,0,0,0,13764,0
"E02_T006_S002",31,0,0,0,11,0,0,0,3,0,0,1,0,0,0,0,0,0,4,0,0,6,8,0,0,8,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
"E02_T006_S003",57,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,12,8,0,0,13,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0
"E02_T006_S004",156,0,2,0,38,0,5,0,8,0,0,2,0,0,0,0,0,1,16,0,5,26,16,0,0,30,10,0,0,2,0,0,0,0,0,1,0,0,0,0,0,18,0
"E02_T006_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T006_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T006_S007",199,0,1,0,57,0,8,0,7,0,0,1,0,0,0,0,0,0,22,0,4,27,31,0,0,35,15,0,0,2,0,0,0,0,0,6,0,0,0,0,0,16,0
"E02_T006_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T006_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T007_S001",83150,0,184,0,20166,2375,0,0,0,0,0,525,0,0,0,0,0,0,4274,0,0,4114,865,0,0,7830,0,1045,0,0,0,0,0,0,0,0,0,0,0,1,7033,3071,0
