"","OTU002","OTU004","OTU005","OTU006","OTU007","OTU008","OTU018","OTU020","OTU022","OTU023","OTU025","OTU028","OTU033","OTU034","OTU036","OTU042","OTU044","OTU053","OTU054","OTU055","OTU056","OTU059","OTU061","OTU063","OTU064","OTU066","OTU068","OTU069","OTU071","OTU074","OTU075","OTU076","OTU078","OTU079","OTU080","OTU083","OTU084","OTU085","OTU086","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU095","OTU096","OTU097","OTU098","OTU101","OTU102","OTU103","OTU104","OTU108","OTU112","OTU115","OTU116","OTU118","OTU119","OTU122","OTU126","OTU129","OTU130","OTU134","OTU135","OTU136","OTU026","OTU027","OTU120","OTU035","OTU038","OTU041","OTU057","OTU060","OTU062","OTU067","OTU070","OTU072","OTU073","OTU081","OTU082","OTU087","OTU105","OTU106","OTU110","OTU111","OTU121","OTU124","OTU125","OTU127","OTU128"
"E01_T002_S007",0,2,0,0,162,258,0,0,0,0,447,824,1,0,0,0,0,0,0,415,0,0,0,0,0,467,0,0,0,1265,0,0,0,0,0,0,0,0,197,0,0,217,0,1358,0,509,228,2,953,1,0,0,0,210,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S008",434,1,2,0,0,0,0,0,0,0,213,396,0,0,0,0,0,0,0,216,0,0,426,0,0,0,0,0,0,701,0,0,0,0,0,0,0,0,0,0,0,432,0,449,0,1769,0,826,1602,3,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S009",1117,1,14,0,0,0,0,0,0,0,319,1269,0,0,0,0,0,0,0,0,0,0,1211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,911,1091,518,0,0,608,344,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S010",395,0,5,0,4,0,0,0,0,0,1055,0,0,0,0,490,0,0,0,0,362,0,848,583,0,0,0,0,0,1,0,487,0,0,0,0,0,0,0,371,0,161,2,616,0,798,0,424,759,1,0,0,0,353,0,0,0,0,0,211,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861,0,236,256,0,0,0,0,0,0,0,0,0,0,869,0,0,2,0,0,835,0,0,1306,0,0,1537,5,0,0,0,1045,0,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S007",147,0,1,0,0,727,3,0,0,0,255,134,0,0,0,64,0,0,0,0,247,0,267,1,0,583,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,723,960,0,748,0,767,455,2,573,199,0,0,0,0,0,0,0,0,0,383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S008",568,0,13,0,0,0,0,0,0,0,477,616,0,0,0,80,0,0,0,0,0,0,141,0,0,1,0,0,0,323,0,0,0,0,0,0,0,0,0,584,0,0,0,1132,260,708,0,1497,1007,2,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S009",0,1,0,0,0,0,0,0,0,0,321,443,1,0,1088,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,1399,0,0,0,0,2559,8,0,0,0,0,0,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S010",1423,0,24,0,504,610,29,0,0,0,0,240,0,0,0,0,0,0,0,36,0,0,249,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,0,1356,616,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S011",0,0,0,0,212,0,15,0,0,0,201,0,0,0,0,236,36,0,294,0,0,0,347,0,0,402,0,0,0,0,0,314,0,0,0,0,0,0,0,0,384,0,567,1260,0,85,0,1831,1260,2,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
